Year,Quarter,Date,High,Low,Open,Close,Volume,Adj Close,Month
2004,Quarter 1,2004-03-31,18.584495544433594,18.315156936645508,18.42289161682129,18.449825286865234,9788575.0,12.136490821838379,3
2004,Quarter 2,2004-06-30,19.81574058532715,19.388717651367188,19.81574058532715,19.55664825439453,8112755.0,12.946274757385254,6
2004,Quarter 3,2004-09-30,20.4202880859375,20.113216400146484,20.348318099975586,20.32432746887207,10146936.0,13.54161262512207,9
2004,Quarter 4,2004-12-31,22.497821807861328,22.21953773498535,22.497821807861328,22.38266944885254,4053981.0,15.007043838500977,12
2005,Quarter 1,2005-03-31,22.550600051879883,22.329891204833984,22.43065071105957,22.368276596069336,8676532.0,15.080662727355957,3
2005,Quarter 2,2005-06-30,23.58696746826172,23.467018127441406,23.51020050048828,23.514997482299805,9824927.0,15.945335388183594,6
2005,Quarter 3,2005-09-30,20.41069221496582,19.959680557250977,20.127609252929688,20.34351921081543,12685702.0,13.87108039855957,9
2005,Quarter 4,2005-12-30,19.062454223632812,18.88492774963379,18.937705993652344,18.918514251708984,7251772.0,12.983623504638672,12
2006,Quarter 1,2006-03-31,20.612207412719727,20.30513572692871,20.45867156982422,20.377105712890625,8415798.0,14.076814651489258,3
2006,Quarter 2,2006-06-30,20.9240779876709,20.511449813842773,20.631399154663086,20.9240779876709,16660484.0,14.556474685668945,6
2006,Quarter 3,2006-09-29,23.361461639404297,23.049591064453125,23.10236930847168,23.299087524414062,7481451.0,16.316753387451172,9
2006,Quarter 4,2006-12-29,23.505401611328125,23.270299911499023,23.41423988342285,23.371057510375977,8392247.0,16.47153663635254,12
2007,Quarter 1,2007-03-30,26.902385711669922,26.585718154907227,26.6289005279541,26.77284049987793,11992080.0,18.979883193969727,3
2007,Quarter 2,2007-06-29,26.446575164794922,25.54935073852539,25.760461807250977,25.69329071044922,11347645.0,18.318906784057617,6
2007,Quarter 3,2007-09-28,25.981170654296875,25.626117706298828,25.866018295288086,25.72687530517578,8573781.0,18.45619010925293,9
2007,Quarter 4,2007-12-31,27.39657974243164,26.873598098754883,27.319812774658203,26.94076919555664,10434973.0,19.443532943725586,12
2008,Quarter 1,2008-03-31,26.58091926574707,25.72687530517578,25.818038940429688,26.460969924926758,20083785.0,19.201072692871094,3
2008,Quarter 2,2008-06-30,25.669300079345703,25.23748016357422,25.415006637573242,25.415006637573242,17982910.0,18.566059112548828,6
2008,Quarter 3,2008-09-30,28.284210205078125,27.3677921295166,28.236230850219727,27.62688446044922,26130888.0,20.309358596801758,9
2008,Quarter 4,2008-12-31,25.784452438354492,25.46298599243164,25.54935073852539,25.60692596435547,11788454.0,18.96027183532715,12
2009,Quarter 1,2009-03-31,23.41423988342285,22.852874755859375,23.155147552490234,22.886459350585938,21521259.0,17.06868553161621,3
2009,Quarter 2,2009-06-30,22.862470626831055,22.195547103881836,22.660953521728516,22.569791793823242,29462068.0,16.986825942993164,6
2009,Quarter 3,2009-09-30,23.764493942260742,23.356664657592773,23.582170486450195,23.735706329345703,21834306.0,18.023096084594727,9
2009,Quarter 4,2009-12-31,26.2210693359375,25.88041114807129,26.134706497192383,25.904401779174805,6238850.0,19.828472137451172,12
2010,Quarter 1,2010-03-31,25.424602508544922,25.050357818603516,25.21828842163086,25.275863647460938,15870363.0,19.48865509033203,3
2010,Quarter 2,2010-06-30,22.665752410888672,22.157163619995117,22.387468338012695,22.445043563842773,21387662.0,17.451778411865234,6
2010,Quarter 3,2010-09-30,25.362228393554688,24.99757957458496,25.155914306640625,25.06475257873535,13436223.0,19.66967010498047,9
2010,Quarter 4,2010-12-31,23.116764068603516,22.76171112060547,22.76171112060547,22.987218856811523,11564402.0,18.188884735107422,12
2011,Quarter 1,2011-03-31,23.726110458374023,23.419038772583008,23.51979637145996,23.534189224243164,20532097.0,18.794540405273438,3
2011,Quarter 2,2011-06-30,25.328641891479492,25.10313606262207,25.304651260375977,25.2470760345459,12069404.0,20.353914260864258,6
2011,Quarter 3,2011-09-30,25.069549560546875,24.536972045898438,24.71449851989746,24.536972045898438,17204252.0,19.961231231689453,9
2011,Quarter 4,2011-12-30,27.079912185668945,26.902385711669922,26.902385711669922,26.979154586791992,8582326.0,22.149736404418945,12
2012,Quarter 1,2012-03-30,29.42613410949707,29.282194137573242,29.296588897705078,29.40694236755371,18351813.0,24.351247787475586,3
2012,Quarter 2,2012-06-29,30.932706832885742,30.275379180908203,30.332956314086914,30.932706832885742,26008128.0,25.833772659301758,6
2012,Quarter 3,2012-09-28,33.26933288574219,32.823116302490234,33.26933288574219,32.89508819580078,25240725.0,27.68770408630371,9
2012,Quarter 4,2012-12-31,31.441293716430664,30.711997985839844,30.769573211669922,31.42690086364746,19018133.0,26.645042419433594,12
2013,Quarter 1,2013-03-28,35.34000015258789,34.529998779296875,34.599998474121094,35.31999969482422,11468200.0,30.070144653320312,3
2013,Quarter 2,2013-06-28,35.81999969482422,34.869998931884766,35.29999923706055,34.880001068115234,20356100.0,29.808021545410156,6
2013,Quarter 3,2013-09-30,33.41999816894531,33.02000045776367,33.04999923706055,33.189998626708984,9418700.0,28.47853660583496,9
2013,Quarter 4,2013-12-31,38.56999969482422,38.220001220703125,38.380001068115234,38.33000183105469,4594200.0,33.02829360961914,12
2014,Quarter 1,2014-03-31,38.58000183105469,38.099998474121094,38.47999954223633,38.5099983215332,8038000.0,33.36891555786133,3
2014,Quarter 2,2014-06-30,41.150001525878906,40.599998474121094,40.66999816894531,40.900001525878906,6711200.0,35.65034866333008,6
2014,Quarter 3,2014-09-30,41.9900016784668,41.59000015258789,41.79999923706055,41.59000015258789,4874800.0,36.44621276855469,9
2014,Quarter 4,2014-12-31,46.04999923706055,44.9900016784668,45.70000076293945,45.02000045776367,3418600.0,39.66158676147461,12
2015,Quarter 1,2015-03-31,46.97999954223633,46.33000183105469,46.83000183105469,46.33000183105469,5358100.0,41.03173065185547,3
2015,Quarter 2,2015-06-30,49.54999923706055,48.90999984741211,49.5099983215332,49.08000183105469,4514700.0,43.689613342285156,6
2015,Quarter 3,2015-09-30,40.43000030517578,39.54999923706055,39.84000015258789,40.220001220703125,10750300.0,35.97562789916992,9
2015,Quarter 4,2015-12-31,45.5,44.900001525878906,45.11000061035156,44.90999984741211,4192400.0,40.403961181640625,12
2016,Quarter 1,2016-03-31,42.0,41.5099983215332,41.650001525878906,41.83000183105469,5168400.0,37.870487213134766,3
2016,Quarter 2,2016-06-30,39.310001373291016,38.56999969482422,38.650001525878906,39.310001373291016,10425000.0,35.80643844604492,6
2016,Quarter 3,2016-09-30,42.470001220703125,41.689998626708984,41.7400016784668,42.290000915527344,7451000.0,38.758113861083984,9
2016,Quarter 4,2016-12-30,38.869998931884766,38.25,38.33000183105469,38.40999984741211,10445600.0,35.42593002319336,12
2017,Quarter 1,2017-03-31,44.81999969482422,44.33000183105469,44.33000183105469,44.40999984741211,7146500.0,41.2243766784668,3
2017,Quarter 2,2017-06-30,49.04999923706055,48.61000061035156,48.779998779296875,48.61000061035156,4723300.0,45.39910125732422,6
2017,Quarter 3,2017-09-29,53.790000915527344,53.290000915527344,53.63999938964844,53.36000061035156,8459000.0,50.11113739013672,9
2017,Quarter 4,2017-12-29,57.77000045776367,57.06999969482422,57.599998474121094,57.06999969482422,3995200.0,53.8574104309082,12
2018,Quarter 1,2018-03-29,60.380001068115234,59.29999923706055,59.56999969482422,59.91999816894531,6656600.0,56.81739807128906,3
2018,Quarter 2,2018-06-29,61.869998931884766,60.91999816894531,61.4900016784668,60.9900016784668,5807300.0,58.11037063598633,6
2018,Quarter 3,2018-09-28,73.58000183105469,72.7699966430664,72.77999877929688,73.36000061035156,6572100.0,70.21051788330078,9
2018,Quarter 4,2018-12-31,72.76000213623047,71.4800033569336,71.56999969482422,72.33000183105469,6094300.0,69.50936126708984,12
2019,Quarter 1,2019-03-29,79.98999786376953,79.11000061035156,79.86000061035156,79.94000244140625,5891200.0,77.1788330078125,3
2019,Quarter 2,2019-06-28,84.26000213623047,83.12000274658203,83.81999969482422,84.0999984741211,16436700.0,81.52742767333984,6
2019,Quarter 3,2019-09-30,84.38999938964844,82.19000244140625,82.19000244140625,83.66999816894531,4340900.0,81.4143295288086,9
2019,Quarter 4,2019-12-31,86.98999786376953,86.2699966430664,86.5,86.86000061035156,3261100.0,84.85717010498047,12
2020,Quarter 1,2020-03-31,81.48999786376953,78.55999755859375,81.43000030517578,78.91000366210938,23792300.0,77.41790771484375,3
2020,Quarter 2,2020-06-30,91.9000015258789,88.44000244140625,88.75,91.43000030517578,5220900.0,90.07890319824219,6
2020,Quarter 3,2020-09-30,109.4800033569336,105.73999786376953,105.98999786376953,108.83000183105469,9487000.0,107.6380386352539,9
2020,Quarter 4,2020-12-31,109.63999938964844,107.8499984741211,108.16999816894531,109.48999786376953,2982200.0,108.65174102783203,12
2021,Quarter 1,2021-03-31,121.44999694824219,119.75,120.0,119.83999633789062,5792800.0,119.40159606933594,3
2021,Quarter 2,2021-05-21,118.94999694824219,116.9800033569336,118.2300033569336,117.12999725341797,4628600.0,117.12999725341797,5
